originalSentence,referenceSentence,tamperingType,tamperedSentence,"LLMScore (Sim, Con)",BLEU,METEOR,Rouge1 r,Rouge1 p,Rouge1 f,Rouge2 r,Rouge2 p,Rouge2 f,Rougel r,Rougel p,Rougel f,LLM-Sim,LLM-Con,originalLanguage,humanMean
"konklusionerne indeholdt ligeledes de fire elementer, som den politik skulle baseres på: partnerskab med hjemlandene, et fælles europæisk asylsystem, forvaltning af migrationsstrømme og retfærdig behandling af tredjelandsstatsborgere.",the conclusions also indicated the four elements on which the said policy should be based: partnership with countries of origin; a common european asylum system; management of migration flows; and fair treatment of third-country nationals.,Letter Duplication,"konklusionerne indeholdt ligeledes de fire elementer, som den politik skulle baseres på: partnerskab med hjemlandenne, et fælles europæisk asylsystem, forvaltning af migrationsstrømme og retfærdig behandling af tredjelandsstatsborgere.","(0.99, 0.95)",0.9157103753711766,0.9686,0.9615384615384616,0.9615384615384616,0.9615384565384616,0.9230769230769232,0.9230769230769232,0.9230769180769232,0.9615384615384616,0.9615384615384616,0.9615384565384616,0.99,0.95,da,0.96
all that comes from different constitutional systems which make it very difficult - though not impossible - to establish indispensable machinery for collaboration to ensure that community resources are satisfactorily controlled.,"alt dette hidrører fra forskellige bestemmelser i grundlovene, som gør det meget vanskeligt - men ikke umuligt - at oprette en nødvendig samarbejdsordning til sikring af en effektiv kontrol med fællesskabets midler.",Negation Removal,all that comes from different constitutional systems which make it very difficult - though impossible - to establish indispensable machinery for collaboration to ensure that community resources are satisfactorily controlled.,"(0.95, 0.95)",0.9167409308877168,0.9717,0.9642857142857144,1.0,0.9818181768198349,0.9333333333333332,0.9655172413793104,0.949152537374318,0.9642857142857144,1.0,0.9818181768198349,0.95,0.95,en,0.3333333333333333
"hr. formand, på tidspunktet for 50-årsdagen for fn's menneskerettighedserklæring skylder europa, verdens største handelsmagt, sig selv fortsat at fremme det begreb, jeg kalder »social globalisering«.","mr president, at a time when we are celebrating the 50th anniversary of the united nations universal declaration of human rights, europe, the world's most important trading power, owes it to itself to continue to further the idea of what i call 'social globalisation'.",Letter Removal,"hr. formand, på tidspunktet for 50-årsdagen for fn's menneskerettighedserklæring skylder europa, verdens største handelsmagt, sig selv fortsat at freme det begreb, jeg kalder »social globalisering«.","(1.00, 1.00)",0.9210500207490828,0.9705,0.9583333333333334,0.9583333333333334,0.9583333283333336,0.9166666666666666,0.9166666666666666,0.9166666616666668,0.9583333333333334,0.9583333333333334,0.9583333283333336,1.0,1.0,da,0.93
"jeg vil gerne informere dem om, at der i henhold til artikel 10, stk. 4, i forretningsordenen vil blive holdt et plenarmøde i bruxelles onsdag den 20. marts 2002.","i should like to inform you that pursuant to rule 10(4) a plenary sitting will be held in brussels on wednesday, 20 march 2002.",Word Removal,"jeg vil gerne informere dem om, at der i til artikel 10, stk . 4, i forretningsordenen vil blive holdt et plenarmøde i bruxelles onsdag den 20. marts 2002.","(0.98, 0.95)",0.9219602423775934,0.9733,0.9615384615384616,1.0,0.9803921518646674,0.9285714285714286,0.9629629629629628,0.9454545404561984,0.9615384615384616,1.0,0.9803921518646674,0.98,0.95,da,0.8166666666666668
"in writing. - (ro) the european union's external borders, either land or sea borders, protect all member states from possible threats caused by illegal immigration, trafficking and organized crime.","eu's ydre grænser, det være sig til lands eller til vands, beskytter alle medlemsstaterne mod mulige trusler fra illegale indvandrere, trafficking og organiseret kriminalitet.",Letter Replacement,"in writing. - (ro) the european union's external borders, either land or sea borders, protect all member states from possible tdreats caused by illegal immigration, trafficking and organized crime.","(0.99, 0.95)",0.9278982724420874,0.9729,0.9642857142857144,0.9642857142857144,0.9642857092857144,0.9285714285714286,0.9285714285714286,0.9285714235714286,0.9642857142857144,0.9642857142857144,0.9642857092857144,0.99,0.95,en,0.7333333333333334
"to you, commissioner solbes, i would like to express our group’s gratitude and appreciation for the way you fought right up to the end.","jeg vil gerne klart udtrykke vores gruppes tak til og anerkendelse af dem, kommissær solbes. de kæmpede til det sidste.",Word Replacement,"to you, commissioner solbes, i would like to express our group ’ s gratitude and appreciation for the way you soakers right up to the end.","(0.85, 0.95)",0.9061874434879644,0.9653,0.9047619047619048,0.8260869565217391,0.8636363586466943,0.8260869565217391,0.76,0.7916666616753474,0.9047619047619048,0.8260869565217391,0.8636363586466943,0.85,0.95,en,0.6666666666666666
"det har der været i republikken congo og i kosovo, og det er der nu i liberia og i haiti, hvor jeg netop er vendt tilbage fra.","there have been accusations in the republic of congo, in kosovo and now in liberia and in haiti, the country from which i have just returned.",Letter Order Swapping,"det har der været i republkiken congo og i kosovo, og det er der nu i liberia og i haiti, hvor jeg netop er vendt tilbage fra.","(1.00, 1.00)",0.9095930632220222,0.9665,0.9473684210526316,0.9473684210526316,0.9473684160526316,0.92,0.92,0.919999995,0.9473684210526316,0.9473684210526316,0.9473684160526316,1.0,1.0,da,0.93
"the first stage relates to this interim agreement which we are to approve today, although parliament's opinion on the matter is of only very limited relevance.","første etape vedrører denne interimsaftale, som vi skal vedtage i dag, selv om parlamentets udtalelse angående denne sag kun har en begrænset rækkevidde.",Word Order Swapping,"the first stage relates to this interim agreement which we to are approve today, although parliament's opinion on the matter is of only very limited relevance. ","(0.98, 0.95)",0.8853153595969632,0.9987,1.0,0.96,0.9795918317367764,0.88,0.8461538461538461,0.862745093041138,0.9583333333333334,0.92,0.9387755052061642,0.98,0.95,en,0.7333333333333334
"all i can say here is that you are wrong if you think that a knowledge-based, sustainable economy can be developed on the basis of uncertainty and poor working conditions.","det eneste, jeg kan sige, er, at kommissionen tager fejl, hvis den tror, at en videnbaseret, bæredygtig økonomi kan udvikles på grundlag af usikkerhed og dårlige arbejdsforhold.",Random Word Addition,"all i can say here is that you are wrong outwork if you think that a knowledge-based, sustainable economy can be developed on the basis of uncertainty and poor working conditions.","(0.98, 0.95)",0.9184678024441792,0.9968,1.0,0.9642857142857144,0.9818181768198349,0.9655172413793104,0.9333333333333332,0.949152537374318,1.0,0.9642857142857144,0.9818181768198349,0.98,0.95,en,0.6333333333333333
there are therefore different competent working parties studying these topics within the framework of the council and the council will consider this work before the end of the year.,"der er derfor forskellige arbejdsgrupper, der undersøger disse områder inden for rådet, og rådet vil gennemgå dette arbejde inden årets udgang.",Word Duplication,there are therefore different competent working parties studying these topics within the framework of the council and the council will will consider this work before the end of the year.,"(0.99, 0.99)",0.9390657734569624,0.9965,1.0,1.0,0.999999995,1.0,0.9629629629629628,0.9811320704734782,1.0,1.0,0.999999995,0.99,0.99,en,0.9133333333333334
"den mest pragmatiske og fornuftige løsning er at overlade det til forbrugerne og erhvervslivet selv at træffe det valg, og det giver i hvert fald erhvervslivet og forbrugerne den størst mulige sikkerhed.",to allow consumers and businesses the freedom to make that choice themselves is the most pragmatic and the most common-sense solution and this gives the maximum certainty both to business and to consumers.,Letter Duplication,"den mest pragmatiske og fornuftige løssning er at overlade det til forbrugerne og erhvervslivet selv at træffe det valg, og det giver i hvert fald erhvervslivet og forbrugerne den størst mulige sikkerhed.","(0.99, 0.95)",0.9210500207490828,0.9705,0.9565217391304348,0.9565217391304348,0.9565217341304348,0.935483870967742,0.935483870967742,0.935483865967742,0.9565217391304348,0.9565217391304348,0.9565217341304348,0.99,0.95,da,0.8966666666666666
"i prefer to use the name burma rather than myanmar since the people of burma and now aung san suu kyi, the legitimate leader in burma, do not refer to it as myanmar.","jeg foretrækker at bruge navnet burma frem for myanmar, eftersom burmas befolkning og nu san suu kyi, den legitime leder i burma, ikke benævner det som myanmar.",Negation Removal,"i prefer to use the name burma rather than myanmar since the people of burma and now aung san suu kyi, the legitimate leader in burma, do refer to it as myanmar.","(0.98, 0.95)",0.9265615739461792,0.9748,0.9642857142857144,1.0,0.9818181768198349,0.9375,0.967741935483871,0.952380947382212,0.9642857142857144,1.0,0.9818181768198349,0.98,0.95,en,0.26666666666666666
"rather like the irish situation that mr crowley described earlier, the greatest concentration of small and medium-sized software developers in germany is to be found in this area around munich.","ligesom det scenario, som hr. crowley beskrev for irlands vedkommende, findes den største koncentration af små og mellemstore softwareudviklere i tyskland i området omkring münchen.",Letter Removal,"rather like the irish situation that mr crowley described earlier, the greatest concentration of small and medium-sized software developers in germany is to be found in this area around muich.","(0.99, 0.99)",0.9420254600938036,0.9686,0.9642857142857144,0.9642857142857144,0.9642857092857144,0.9655172413793104,0.9655172413793104,0.9655172363793104,0.9642857142857144,0.9642857142857144,0.9642857092857144,0.99,0.99,en,0.48333333333333334
"the committee on budgets also shares this opinion, and you can of course take it that our rapporteur, mr wiersma, also subscribes to this assessment on behalf of the committee on external economic relations.","budgetudvalget deler i øvrigt denne vurdering, og de kan naturligvis gå ud fra, at ordføreren, hr. wiersma, også deler denne vurdering på vegne af udvalget om eksterne økonomiske forbindelser.",Word Removal,"the on budgets also shares this opinion, and you can of course take it that our rapporteur, mr wiersma, also subscribes to this assessment on behalf of the committee on external economic relations.","(0.99, 0.95)",0.9523907551885424,0.9762,1.0,1.0,0.999999995,1.0,0.96875,0.984126979128244,1.0,1.0,0.999999995,0.99,0.95,en,0.5166666666666667
"det er yderst vigtigt, at fødevarer og legetøj holdes tilstrækkeligt adskilt, så man kan undgå, at børn ubevidst kommer til at putte noget i munden og risikerer at blive kvalt.",it is of the utmost importance that foodstuffs and toys be kept sufficiently well separated to avoid the danger that children may inadvertently put something in their mouths and risk suffocation.,Letter Replacement,"det er yderst vigtigt, at fødevarer og legetøj holdes tilstrækkeligt adskilt, så man kan undgå, at børn ubevidst kommer til at putte noget i munden og rifikerer at blive kvalt.","(0.99, 0.99)",0.9210500207490828,0.9705,0.9615384615384616,0.9615384615384616,0.9615384565384616,0.9310344827586208,0.9310344827586208,0.9310344777586208,0.9615384615384616,0.9615384615384616,0.9615384565384616,0.99,0.99,da,0.7333333333333333
"it continues to mean a loss of rights, unemployment and poverty, with an impact on small and medium-sized farmers, fishermen and small and medium-sized enterprises (smes), all of which end up as victims.","det betyder yderligere tab af rettigheder, større arbejdsløshed og fattigdom og vil påvirke små og mellemstore landbrugere, fiskere og små og mellemstore virksomheder, der alle ender som ofre.",Word Replacement,"it continues to mean a loss of rights, unemployment and poverty, with an impact on small and upholder farmers, fishermen and small and medium-sized enterprises (smes), all of which end up as victims.","(0.95, 0.95)",0.933651069586263,0.9749,1.0,0.9642857142857144,0.9818181768198349,0.9666666666666668,0.935483870967742,0.9508196671324912,1.0,0.9642857142857144,0.9818181768198349,0.95,0.95,en,0.5833333333333334
the aim of those investigations is to establish whether the imports in question are dumped and have had a negative impact on the economic situation of the community footwear industry.,"målet med undersøgelserne er at fastslå, om den pågældende import er dumping og har negativ indvirkning på fællesskabets skotøjsindustris økonomiske situation.",Letter Order Swapping,the aim of those investigations is to establish whteher the imports in question are dumped and have had a negative impact on the economic situation of the community footwear industry.,"(1.00, 1.00)",0.9127592114472296,0.9676,0.9615384615384616,0.9615384615384616,0.9615384565384616,0.9310344827586208,0.9310344827586208,0.9310344777586208,0.9615384615384616,0.9615384615384616,0.9615384565384616,1.0,1.0,en,0.8633333333333333
på baggrund heraf og for at forebygge lignende situationer i fremtiden foreslår ordføreren en ny tilgang til beskyttelsen af befolkningen og landbrugerne for bedre at værne dem mod de ødelæggende følger.,"in light of these situations, and the need to prevent future recurrences, the rapporteur has suggested a fresh approach to improving protection for communities and farmers from the devastating impact.",Word Order Swapping,på baggrund heraf og for at forebygge lignende situationer i fremtiden foreslår ordføreren en ny tilgang til beskyttelsen befolkningen af og landbrugerne for bedre at værne dem mod de ødelæggende følger. ,"(0.99, 1.00)",0.8971507378399466,0.999,1.0,0.9655172413793104,0.9824561353524162,0.9,0.8709677419354839,0.8852458966406881,0.9642857142857144,0.9310344827586208,0.9473684160541708,0.99,1.0,da,0.7666666666666667
"især hensigten om kun at tilkende daphne-programmet et minibudget, der er endnu lavere end det, der var parlamentets hensigt, og som kommissionen var enig i, gør mig bekymret for, hvad rådet vil med dette program.","in particular, its plan to allocate daphne only a mini-budget, even less than parliament had proposed and the commission had agreed to, makes me very anxious about what the council really intends for this programme.",Random Word Addition,"især hensigten om kun at tilkende daphne-programmet et minibudget, der er endnu lavere end det, der var parlamentets hensigt, og som kommissionen var enig i, gør mig bekymret for, hvad rådet vil med dette floskel program.","(0.95, 0.95)",0.9436234734029224,0.9975,1.0,0.9705882352941176,0.9850746218667856,0.9705882352941176,0.9428571428571428,0.9565217341314852,1.0,0.9705882352941176,0.9850746218667856,0.95,0.95,da,0.6566666666666666
"we must find a joint solution, since youth must be considered a precious and essential resource that must be mobilised in the pursuit of social and economic objectives, particularly in an ageing society.","vi må finde en fælles løsning, da ungdommen skal betragtes som en værdifuld og vigtig ressource, som skal mobiliseres i forfølgelsen af sociale og økonomiske mål, særlig i et aldrende samfund.",Word Duplication,"we must find a a joint solution, since youth must be considered a precious and essential resource that must be mobilised in the pursuit of social and economic objectives, particularly in an ageing society.","(0.99, 0.99)",0.949617584722186,0.9971,1.0,1.0,0.999999995,1.0,0.96875,0.984126979128244,1.0,1.0,0.999999995,0.99,0.99,en,0.9
"similarly, the meda ii regulation referred to the need to recognise and strengthen the economic and social role of women and to the importance of education and of the creation of jobs for women.",på samme måde henviste man i meda ii-forordningen til nødvendigheden af at anerkende og styrke kvindernes økonomiske og sociale rolle og til vigtigheden af uddannelse og arbejdspladser til kvinder.,Letter Duplication,"similarly, the meda ii regulation referred to the need to recognise and strengthen the economic andd social role of women and to the importance of education and of the creation of jobs for women.","(0.99, 1.00)",0.9257518071011758,0.9715,1.0,0.9545454545454546,0.976744181049216,0.9375,0.9375,0.937499995,1.0,0.9545454545454546,0.976744181049216,0.99,1.0,en,0.9333333333333332
"ikke mindst af den grund skal evalueringen af odysseus tillægges særlig betydning. odysseus-programmet viser også i lighed med den fælles foranstaltning til beskyttelse af fordrevne, at politik på de pågældende områder ikke nødvendigvis betyder en udbygning af fæstning europa.","not only will odysseus gain special value from this, but odysseus and the common measure for protection of refugees also show that policies in these fields do not have to mean the destruction of fortress europe.",Negation Removal,"mindst af den grund skal evalueringen af odysseus tillægges særlig betydning . odysseus-programmet viser også i lighed med den fælles foranstaltning til beskyttelse af fordrevne, at politik på de pågældende områder nødvendigvis betyder en udbygning af fæstning europa.","(0.95, 0.98)",0.9128807466725294,0.9569,0.9705882352941176,1.0,0.9850746218667856,0.9210526315789472,0.9722222222222222,0.9459459409495982,0.9705882352941176,1.0,0.9850746218667856,0.95,0.98,da,0.3
"i 206 sager blev der fremsat en kritisk bemærkning, i 48 sager resulterede undersøgelsen i et udkast til forlig eller et forslag til mindelig løsning, som i de fleste tilfælde var til klagerens fordel.","in 206 cases a critical remark was made, in 48 cases the inquiry resulted in a draft accommodation or proposal for a friendly solution, most of it achieved a success for the complainant.",Letter Removal,"i 206 sager blev der fremsat en kritisk bemærkning, i 48 sager resulterede undersøgelsen i et udkast il forlig eller et forslag til mindelig løsning, som i de fleste tilfælde var til klagerens fordel.","(1.00, 1.00)",0.9278982724420874,0.9729,1.0,0.9642857142857144,0.9818181768198349,0.9393939393939394,0.9393939393939394,0.9393939343939396,1.0,0.9642857142857144,0.9818181768198349,1.0,1.0,da,0.6999999999999998
"as far as apprentices are concerned, at the initiative of mrs heinisch, the report calls for the adoption of a community definition and an apprenticeship statute, and also for the implementation of a specific mobility programme for apprentices.",for så vidt angår lærlingene kræver betænkningen på initiativ af fru heinisch vedtagelse af en fællesskabsdefinition og en fællesskabsretlig status for lærlinge samt iværksættelse af et særligt program for lærlinges mobilitet.,Word Removal,"as far as apprentices are concerned, the initiative of mrs heinisch, the report calls for the adoption of a community definition and an apprenticeship statute, and also for the implementation of a specific mobility programme for apprentices.","(0.98, 0.95)",0.9375922238875156,0.9785,0.9629629629629628,1.0,0.9811320704734782,0.9428571428571428,0.9705882352941176,0.9565217341314852,0.9629629629629628,1.0,0.9811320704734782,0.98,0.95,en,0.7999999999999999
"jeg vil gerne understrege, at vi bifalder kommissionens beslutning om at sætte skub i grundforskningen i europa, efter at man i flere år næsten udelukkende har prioriteret støtten til forskning, som anvendes i industrien.","once again, i welcome the commission’s decision to revitalise basic research in europe after years in which priority was almost exclusively given to supporting applied research for industry.",Letter Replacement,"jeg vil gerne understrege, at vi bifalder kommissionens beslutning om at sætte skub i grundforskninfen i europa, efter at man i flere år næsten udelukkende har prioriteret støtten til forskning, som anvendes i industrien.","(0.99, 1.00)",0.9299238452109287,0.9736,0.9655172413793104,0.9655172413793104,0.9655172363793104,0.9393939393939394,0.9393939393939394,0.9393939343939396,0.9655172413793104,0.9655172413793104,0.9655172363793104,0.99,1.0,da,0.7999999999999999
"this initiative is intended to turn directive 92/109 into a regulation, so as to enable the legislation to be simplified, making it easier to apply in a uniform way and at the same time.","dette initiativ har til formål at ændre direktiv 92/109 til en forordning, så lovgivningen kan forenkles, og så den bliver lettere at gennemføre på en ensartet og samtidig måde.",Word Replacement,"this initiative is flightless to turn directive 92/109 into a regulation, so as to enable the legislation to be simplified, making it easier to apply in a uniform way and at the same time.","(0.85, 0.95)",0.9278982724420874,0.9729,0.9655172413793104,0.9655172413793104,0.9655172363793104,0.9393939393939394,0.9393939393939394,0.9393939343939396,0.9655172413793104,0.9655172413793104,0.9655172363793104,0.85,0.95,en,0.6333333333333333
"hvis eu i skyggen af krisen mister de mål af syne, man har sat sig, kan dette få en negativ indvirkning på eu's egen troværdighed og eu's lederrolle i forbindelse med klimaændringerne.","if, in the shadow of the crisis, the european union loses sight of the goals it has set for itself, this can have a harmful effect on its own credibility and its leadership role in the area of climate change.",Letter Order Swapping,"hvis eu i skyggen af krisen mister de mål af syne, man har sat sig, kan dette få en negativ indvirkning på eu's geen troværdighed og eu's lederrolle i forbindelse med klimaændringerne.","(0.95, 0.99)",0.9278982724420874,0.9729,0.9655172413793104,0.9655172413793104,0.9655172363793104,0.935483870967742,0.935483870967742,0.935483865967742,0.9655172413793104,0.9655172413793104,0.9655172363793104,0.95,0.99,da,0.6666666666666666
"i sidste ende var det den vilkårlige og retsstridige beslutning i delors' kabinet i januar 1994, som skabte betingelserne for, at firmaet kunne spille en afgørende rolle i en ny bedrageriskandale med forfalsket smør i årene 1995-2000.",the arbitrary and unlawful decision made by the delors cabinet in january 1994 ultimately led to a situation in which this company was able to play an important role in a fresh fraud scandal concerning traffic in adulterated butter between 1995 and 2000.,Word Order Swapping,"i sidste ende var det den vilkårlige og retsstridige beslutning i delors' kabinet i januar 1994, som skabte betingelserne for, at firmaet kunne spille en afgørende rolle i ny en bedrageriskandale med forfalsket smør i årene 1995-2000. ","(0.99, 0.95)",0.9214438554340222,0.9995,1.0,0.9696969696969696,0.984615379616568,0.9166666666666666,0.8918918918918919,0.904109584042034,1.0,0.9696969696969696,0.984615379616568,0.99,0.95,da,0.8333333333333334
"jeg foreslår, at europa-parlamentet opfordrer eu og dets medlemsstater til at gennemføre kampen mod terrorisme med fuld respekt for menneskerettighederne og grundlæggende frihedsrettigheder som en af eu's vigtigste prioriteringer og et centralt element i dets eksterne forbindelser.",i suggest that the european parliament call on the european union and its member states to carry out the fight against terrorism in full respect of human rights and fundamental freedoms as one of the main priorities of the union and a key element of its external actions.,Random Word Addition,"jeg foreslår, at europa-parlamentet opfordrer eu og dets medlemsstater til at gennemføre kampen mod lide terrorisme med fuld respekt for menneskerettighederne og grundlæggende frihedsrettigheder som en af eu's vigtigste prioriteringer og et centralt element i dets eksterne forbindelser.","(0.95, 0.95)",0.935369573102062,0.9974,1.0,0.9705882352941176,0.9850746218667856,0.9722222222222222,0.945945945945946,0.9589041045899794,1.0,0.9705882352941176,0.9850746218667856,0.95,0.95,da,0.7166666666666668
"mr president, commissioner, long before the summit in doha, where the present trade talks have started, my group, that of the party of european socialists, emphasised the special nature of these negotiations and the special responsibility that they entail.","hr. formand, hr. kommissær, længe inden topmødet i doha, hvor de aktuelle handelsforhandlinger startede, fremhævede min gruppe, de europæiske socialdemokraters gruppe, disse forhandlingers særlige beskaffenhed og det særlige ansvar, de fører med sig.",Word Duplication,"mr president, commissioner, long before the summit in doha, where the present trade talks have started, my group, that of the party of european socialists, emphasised the special nature of these negotiations and and the special responsibility that they entail.","(0.99, 0.99)",0.9608939178982512,0.9978,1.0,1.0,0.999999995,1.0,0.9736842105263158,0.9866666616675556,1.0,1.0,0.999999995,0.99,0.99,en,0.9166666666666666
"i betragtning af, at den europæiske union er bagud på forskningsområdet i forhold til sine konkurrenter, er det nødvendigt at øge bevillingerne til ecu 16, 3 milliarder og at forbedre anvendelsen af dem samt iværksættelsen af projekterne væsentligt.","given the european union's backwardness in the field of research in comparison with competitor countries, appropriations should be increased to ecu 16.3 billion and substantial improvements should be brought about in their use and in the implementation of projects.",Letter Duplication,"i betragtning af, at den europæiske union er bagud på forskningsområdet i forhold til sine konkurrenter, er det nødvendigt at øge bevillingerne til ecu 16, 3 milliarder og at forbedre anvendelsen af dem samt iværksættelsen af projektterne væsentligt.","(0.99, 0.95)",0.9436234734029224,0.9761,0.96875,0.96875,0.968749995,0.945945945945946,0.945945945945946,0.945945940945946,0.96875,0.96875,0.968749995,0.99,0.95,da,0.9466666666666667
"laksesektoren i skotland, irland og andre steder inden for unionen er meget ivrige efter, at disse produkter bliver tilladt så hurtigt som muligt, da man ved, at afprøvningerne har vist, at der ikke er nogen skadevirkninger på fisk eller mennesker.","the salmon industry in scotland, ireland and elsewhere within the union is very anxious that these products be licensed as quickly as possible, knowing that trial runs have proved that there is no deleterious effect to fish or to human beings.",Negation Removal,"laksesektoren i skotland, irland og andre steder inden for unionen er meget ivrige efter, at disse produkter bliver tilladt så hurtigt som muligt, da man ved, at afprøvningerne har vist, at der er nogen skadevirkninger på fisk eller mennesker.","(0.95, 0.9)",0.9432691605012544,0.9803,0.972972972972973,1.0,0.986301364863952,0.9487179487179488,0.9736842105263158,0.9610389560398044,0.972972972972973,1.0,0.986301364863952,0.95,0.9,da,0.15
"with regard to the internal market for services, in particular, i can tell you that it is anticipated that the council will adopt conclusions regarding the report on barriers at the meeting of the competitiveness council on 14-15 november 2002.","særlig med hensyn til det indre marked for tjenesteydelser kan jeg oplyse, at det forventes, at rådet vedtager konklusioner om barriererapporten på rådsmødet om konkurrenceevne den 14.-15. november 2002.",Letter Removal,"with regard to the internal market for services, in particular, i can tell you that it is anticipated that the council will adopt conclusions regarding the report on bariers at the meeting of the competitiveness council on 14-15 november 2002.","(1.00, 1.00)",0.9385522307631308,0.9767,0.9696969696969696,0.9696969696969696,0.96969696469697,0.9487179487179488,0.9487179487179488,0.9487179437179488,0.9696969696969696,0.9696969696969696,0.96969696469697,1.0,1.0,en,0.9633333333333334
"both sides - the coalition and the opposition - and, of course, civil society, too, must understand that internal instability increases the risk and likelihood of further destructive influences from neighbouring states, particularly from the russian federation. thank you for your attention.","begge sider - både koalitionen og oppositionen - og selvfølgelig også civilsamfundet må forstå, at intern ustabilitet øger risikoen og sandsynligheden for yderligere destruktiv indflydelse fra nabostater, især fra den russiske føderation.",Word Removal,"both - the coalition and the opposition - and, of course, civil society, too, must understand that internal instability increases the risk and likelihood of further destructive influences from neighbouring states, particularly from the russian federation . thank you for your attention.","(0.99, 0.95)",0.9633650865395053,0.9816,0.9714285714285714,1.0,0.9855072413778618,0.951219512195122,0.975,0.962962957963725,0.9714285714285714,1.0,0.9855072413778618,0.99,0.95,en,0.9166666666666666
"cohesion is the overriding objective in our treaty, it stands over and above emu and that is why we believe that emu and its processes and stages need to be scrutinized to see how they contribute to cohesion policy.","samhørighed er et underkendt mål i traktaten; men det står over ømu, og det er grunden til, at vi mener, at ømu og dens processer og faser bør underkastes en grundig undersøgelse for at konstatere, hvordan de bidrager til samhørighedspolitikken.",Letter Replacement,"cohesion is the overriding objective in our treaty, it stands over and above emu and that is why we believe shat emu and its processes and stages need to be scrutinized to see how they contribute to cohesion policy.","(0.99, 0.99)",0.935369573102062,0.9751,1.0,0.967741935483871,0.983606552378393,0.945945945945946,0.945945945945946,0.945945940945946,1.0,0.967741935483871,0.983606552378393,0.99,0.99,en,0.7966666666666665
"eu var med til at udarbejde handlingsplanen for 2010-2014 - som den fuldt ud bakker op om - og som blev vedtaget i cartagena, colombia, ved konferencen om den anden revision af konventionen fra 29. november til 4. december 2009.","the european union was involved in drawing up the 2010-2014 action plan - which it fully supports - adopted in cartagena, colombia, during the convention's second review conference from 29 november to 4 december 2009.",Word Replacement,"eu var med til at udarbejde handlingsplanen for 2010-2014 - som den fuldt ud bakker op om - og som blev vedtaget i cartagena, colombia, ved konferencen om den anden revision af kanonade fra 29. november til 4. december 2009.","(0.95, 0.95)",0.9385522307631308,0.9767,0.9714285714285714,0.9714285714285714,0.9714285664285714,0.9487179487179488,0.9487179487179488,0.9487179437179488,0.9714285714285714,0.9714285714285714,0.9714285664285714,0.95,0.95,da,0.46666666666666673
"(de) fru formand, fru kommissær, mine damer og herrer! jeg var personligt med i darfur, og jeg var også inde i nabolandet tchad sammen med hr. ribeiro e castro, og jeg kan derfor fuldstændig tilslutte mig det, han sagde.","(de) madam president, commissioner, ladies and gentlemen, i personally was in darfur and i was also in neighbouring chad with mr ribeiro e castro and i can therefore fully support what he has said.",Letter Order Swapping,"(de) fru formand, fru kommissær, mine damer og herrer! jeg var personligt med i darfur, og jeg var også inde i nabolandet tchad asmmen med hr. ribeiro e castro, og jeg kan derfor fuldstændig tilslutte mig det, han sagde.","(0.99, 0.95)",0.9464594399631752,0.9796,0.967741935483871,0.967741935483871,0.9677419304838712,0.9444444444444444,0.9444444444444444,0.9444444394444445,0.967741935483871,0.967741935483871,0.9677419304838712,0.99,0.95,da,0.7666666666666666
"desuden forbereder rådet også selv sin holdning på basis af disse forslag, så det er også i parlamentets interesse at arbejde ud fra dette grundlag, at give input og følgelig at etablere grundlaget for en forhandlet fælles holdning.","moreover, the council itself is now preparing its position on the basis of these proposals, so it is also in parliament’s interest to work on this basis, provide input and consequently establish the basis for a negotiated common position.",Word Order Swapping,"desuden forbereder rådet også sin selv holdning på basis af disse forslag, så det er også i parlamentets interesse at arbejde ud fra dette grundlag, at give input og følgelig at etablere grundlaget for en forhandlet fælles holdning. ","(0.98, 0.95)",0.9214438554340222,0.9995,1.0,0.9714285714285714,0.9855072413778618,0.918918918918919,0.8947368421052632,0.9066666616675556,0.9705882352941176,0.9428571428571428,0.9565217341314852,0.98,0.95,da,0.8333333333333334
